                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7643,                 3.6003,                 1.3928,                0.02204,                0.42955,                0.21988,                0.14433,                 1.4269,                 3.5119,                 1.2189,               0.000325,               0.000325,               0.000325
                      2,                 1.6147,                 2.2692,                 1.2577,                0.34048,                 0.1449,                0.12512,                0.07455,                 1.5464,                 2.0595,                 1.3419,             0.00062971,             0.00062971,             0.00062971
                      3,                 1.5643,                 1.8913,                 1.2349,                0.12973,                0.10985,                0.06783,                0.04005,                 1.5382,                 1.7905,                 1.3246,               0.000901,               0.000901,               0.000901
                      4,                 1.5714,                 1.8121,                 1.2435,                0.16351,                0.11694,                0.08537,                0.04975,                 1.6056,                 1.7019,                 1.3286,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.5521,                 1.6942,                 1.2387,                0.23061,                0.08555,                0.08601,                0.04896,                 1.5579,                 1.5555,                 1.3051,              0.0010025,              0.0010025,              0.0010025
                      6,                  1.525,                 1.6253,                 1.2374,                0.41681,                0.08409,                0.06563,                 0.0399,                 1.4242,                  1.443,                 1.2258,             0.00094062,             0.00094062,             0.00094062
                      7,                 1.4833,                 1.6327,                 1.2259,                0.72734,                0.07803,                0.07765,                0.04736,                 1.4525,                 1.4989,                 1.1902,             0.00087875,             0.00087875,             0.00087875
                      8,                 1.4896,                 1.5668,                 1.2044,                0.75238,                0.06136,                0.07774,                0.04695,                 1.4058,                 1.4271,                 1.2344,             0.00081688,             0.00081688,             0.00081688
                      9,                 1.4579,                 1.5679,                   1.21,                0.21321,                0.06439,                0.07807,                 0.0502,                 1.3899,                 1.3526,                 1.2253,               0.000755,               0.000755,               0.000755
                     10,                 1.4189,                 1.4933,                 1.1841,                0.45377,                0.06818,                0.06789,                0.04478,                 1.3867,                 1.3205,                 1.2273,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.4189,                 1.5745,                 1.2091,                0.18831,                0.06322,                0.07699,                0.04949,                 1.4192,                 1.3567,                 1.2451,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.3947,                   1.53,                 1.1941,                0.22144,                0.06477,                0.08109,                0.05385,                 1.3862,                 1.4407,                  1.238,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.3463,                 1.4328,                 1.1646,                0.19712,                0.05749,                0.07001,                 0.0471,                 1.4181,                 1.5029,                 1.2379,              0.0005075,              0.0005075,              0.0005075
                     14,                  1.383,                 1.4063,                 1.1762,                0.48204,                0.06856,                0.08152,                 0.0531,                 1.3647,                 1.3102,                 1.1889,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.3605,                 1.4748,                 1.1597,                0.16706,                0.06212,                0.06864,                0.04406,                 1.3845,                 1.3095,                 1.2057,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.3325,                  1.372,                 1.1773,                0.24434,                0.06856,                0.07724,                0.05167,                 1.3881,                 1.2153,                 1.2363,             0.00032188,             0.00032188,             0.00032188
                     17,                 1.3107,                 1.3234,                 1.1498,                0.21785,                0.06439,                0.07436,                0.04878,                 1.3515,                 1.2677,                 1.2124,                0.00026,                0.00026,                0.00026
                     18,                 1.3245,                 1.3026,                 1.1793,                0.20785,                0.06439,                 0.0757,                0.05056,                 1.3421,                 1.2107,                 1.2057,             0.00019813,             0.00019813,             0.00019813
                     19,                 1.2952,                 1.2766,                 1.1397,                0.17874,                0.06439,                0.07147,                 0.0444,                 1.4184,                 1.2644,                 1.2454,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.2685,                 1.1946,                 1.1422,                0.19029,                0.06439,                0.07089,                0.04668,                 1.3526,                 1.2165,                 1.2102,             7.4375e-05,             7.4375e-05,             7.4375e-05
